,EFA US Equity,SPY US Equity,EEM US Equity,DBC US Equity,IYR US Equity,LQD US Equity,SHY US Equity
2/5/2014,63.16,175.17,37.72,25.12,64.95,115.81,84.52
2/6/2014,64.28,177.48,38.51,25.22,65.43,115.7,84.53
2/7/2014,65.12,179.68,38.73,25.51,65.87,116.06,84.55
2/10/2014,64.9,180.01,38.3,25.37,66.47,116.11,84.53
2/11/2014,65.93,181.98,39.13,25.5,66.7,115.87,84.51
2/12/2014,66.04,182.07,39.14,25.55,66.74,115.52,84.47
2/13/2014,66.24,183.01,39.18,25.69,67,116,84.52
2/14/2014,66.49,184.02,39.66,25.78,67.27,116.22,84.52
2/17/2014,66.49,184.02,39.66,25.78,67.27,116.22,84.52
2/18/2014,67.06,184.24,39.29,26.15,67.67,116.46,84.55
2/19/2014,66.61,183.02,39.02,26.22,67.65,116.33,84.52
2/20/2014,66.84,184.1,39.16,26.27,67.53,116.18,84.53
2/21/2014,66.97,183.89,39.43,26.2,67.64,116.3,84.54
2/24/2014,67.55,184.91,39.43,26.31,67.75,116.36,84.54
2/25/2014,67.39,184.84,38.98,26.19,67.78,116.81,84.53
2/26/2014,67.16,184.85,39.01,26.12,67.97,117.19,84.57
2/27/2014,67.39,185.82,39.75,26.04,67.9,117.39,84.56
2/28/2014,67.51,186.29,39.48,26.13,68.35,117.32,84.56
3/3/2014,66.08,184.98,38.78,26.49,68.4,117.28,84.59
3/4/2014,67.39,187.58,39.44,26.39,69.24,116.65,84.52
3/5/2014,67.33,187.75,39.47,26.17,69.15,116.59,84.55
3/6/2014,68.03,188.18,40.03,26.41,68.82,116.24,84.5
3/7/2014,67.66,188.26,39.52,26.29,68.04,115.82,84.44
3/10/2014,67.24,188.16,39.25,26.07,67.79,115.64,84.45
3/11/2014,66.75,187.23,38.81,26.08,68.16,115.68,84.45
3/12/2014,66.5,187.28,38.89,26.01,68.31,116.09,84.48
3/13/2014,65.26,185.18,38.19,25.89,68.09,116.5,84.53
3/14/2014,65.12,184.66,38.4,26.03,68.11,116.37,84.51
3/17/2014,65.94,186.33,38.87,25.74,68.22,116.22,84.48
3/18/2014,66.35,187.66,39.41,25.87,68.52,116.58,84.5
3/19/2014,65.54,186.66,38.57,25.86,67.31,115.74,84.36
3/20/2014,65.29,187.747,38.74,25.74,67.4,115.9,84.37
3/21/2014,65.16,186.2,38.98,25.76,67.95,116.3,84.38
3/24/2014,65.33,185.43,39.36,25.75,67.55,116.52,84.34
3/25/2014,66.04,186.31,39.81,25.92,67.27,116.56,84.35
3/26/2014,66.03,184.97,39.9,25.9,66.52,117.01,84.41
3/27/2014,66.36,184.58,40.42,26.13,66.84,117.04,84.4
3/28/2014,66.86,185.49,40.74,26.14,67.28,116.95,84.4
3/31/2014,67.2,187.01,41.01,26.12,67.67,116.94,84.45
4/1/2014,67.63,188.25,41.49,25.8,68.1,116.31,84.38
4/2/2014,67.76,188.88,41.57,25.74,68.11,116.15,84.35
4/3/2014,67.57,188.63,41.41,25.95,67.87,116.37,84.37
4/4/2014,67.36,186.4,41.3,26.07,68.14,116.83,84.44
4/7/2014,67.04,184.34,41.475,26.01,68.21,117.11,84.445
4/8/2014,67,185.1,41.96,26.31,68.59,117.42,84.46
4/9/2014,67.86,187.09,42.28,26.38,68.54,117.52,84.5
4/10/2014,66.66,183.155,41.83,26.39,67.93,117.68,84.55
4/11/2014,66.26,181.51,41.83,26.27,67.52,117.76,84.54
4/14/2014,66.64,182.9401,41.741,26.51,67.77,117.84,84.53
4/15/2014,66.36,184.2,41.11,26.53,68.49,118.09,84.53
4/16/2014,67.18,186.125,41.63,26.58,68.9,118.14,84.5
4/17/2014,67.53,186.39,42.01,26.64,68.71,117.46,84.48
4/18/2014,67.53,186.39,42.01,26.64,68.71,117.46,84.48
4/21/2014,67.62,187.04,41.75,26.55,69,117.62,84.48
4/22/2014,67.9,187.89,41.64,26.54,69.23,117.68,84.44
4/23/2014,67.74,187.45,41.34,26.52,69.02,117.94,84.48
4/24/2014,67.73,187.83,41.38,26.68,69.25,117.96,84.46
4/25/2014,67.4,186.29,40.82,26.57,69.01,117.94,84.47
4/28/2014,67.61,186.875,41.02,26.48,69.37,117.8,84.47
4/29/2014,68.05,187.75,41.41,26.55,69.41,117.82,84.46
4/30/2014,68.32,188.31,41.33,26.41,69.72,118.15,84.52
5/1/2014,68.51,188.325,41.38,26.21,70.26,118.3,84.5
5/2/2014,68.4,188.06,41.61,26.28,70.23,118.55,84.49
5/5/2014,68.35,188.42,41.38,26.22,70.48,118.25,84.5
5/6/2014,68.23,186.78,41.57,26.24,70.22,118.45,84.47
5/7/2014,68.31,187.88,41.79,26.31,71.04,118.47,84.5
5/8/2014,68.32,187.675,41.69,26.23,71.08,118.5,84.52
5/9/2014,68.22,187.96,41.62,26.1,71.07,118.37,84.55
5/12/2014,68.67,189.785,42.32,26.16,71.22,118.07,84.53
5/13/2014,68.77,189.96,42.48,26.28,70.8,118.51,84.56
5/14/2014,68.64,189.06,42.78,26.4,70.98,119.1,84.59
5/15/2014,68.34,187.4,42.38,26.24,70.86,119.31,84.6
5/16/2014,68.49,188.05,42.94,26.27,71.38,119.17,84.61
5/19/2014,68.35,188.74,42.94,26.25,71.12,119.06,84.63
5/20/2014,67.92,187.55,42.59,26.3,70.9,119.06,84.64
5/21/2014,68.45,189.13,42.92,26.35,70.62,118.84,84.64
5/22/2014,68.54,189.59,43.22,26.37,70.56,118.8,84.62
5/23/2014,68.72,190.35,43.14,26.43,71.09,118.93,84.6
5/26/2014,68.72,190.35,43.14,26.43,71.09,118.93,84.6
5/27/2014,69.21,191.52,42.77,26.21,71.52,119.35,84.62
5/28/2014,68.98,191.38,43.02,26.22,71.23,119.92,84.64
5/29/2014,69.4,192.37,43.14,26.23,71.32,119.57,84.63
5/30/2014,69.41,192.68,42.55,26.03,71.67,119.59,84.65
6/2/2014,69.55,192.895,42.68,26,71.8,118.59,84.57
6/3/2014,69.38,192.8,42.92,25.98,71.71,118.05,84.55
6/4/2014,69.36,193.19,42.68,25.91,71.78,117.99,84.58
6/5/2014,69.84,194.45,43.13,25.94,72.9,118.24,84.59
6/6/2014,70.22,195.375,43.56,26.05,72.75,118.49,84.57
6/9/2014,70.15,195.58,43.72,26.16,71.97,118.25,84.51
6/10/2014,70,195.6,43.95,26.09,71.6,118.03,84.49
6/11/2014,69.65,194.92,43.8,26.02,71.31,118.12,84.52
6/12/2014,69.67,193.54,43.59,26.39,71.1,118.5,84.55
6/13/2014,69.72,194.13,43.61,26.39,71.28,118.48,84.5
6/16/2014,69.74,194.29,43.41,26.47,70.92,118.47,84.48
6/17/2014,69.69,194.83,43.42,26.5,71,118.07,84.41
6/18/2014,70.29,196.255,43.9,26.61,71.44,118.75,84.48
6/19/2014,70.67,196.48,43.65,26.87,71.99,118.33,84.47
6/20/2014,70.55,195.94,43.56,26.92,72.24,118.56,84.47
6/23/2014,70.36,195.88,43.47,26.82,72.07,118.55,84.47
6/24/2014,69.92,194.7,43.45,26.86,71.5,119.05,84.5
6/25/2014,68.22,195.58,43.2,26.9,71.5,119.17,84.51
6/26/2014,68.27,195.44,43.25,26.79,71.42,119.39,84.53
6/27/2014,68.31,195.82,43.35,26.74,71.85,119.37,84.55
6/30/2014,68.37,195.72,43.23,26.58,71.79,119.26,84.56
7/1/2014,68.97,197.03,43.64,26.5,71.97,118.47,84.5
7/2/2014,69.08,197.23,43.9,26.45,71.89,118.05,84.47
7/3/2014,69.22,198.2,44.16,26.4,71.55,117.93,84.46
7/4/2014,69.22,198.2,44.16,26.4,71.55,117.93,84.46
7/7/2014,68.68,197.51,44.13,26.19,71.62,118.14,84.44
7/8/2014,67.96,196.24,43.9325,26.12,71.84,118.58,84.46
7/9/2014,68.18,197.12,44.18,25.94,72,118.77,84.47
7/10/2014,67.43,196.34,43.94,25.98,72.23,118.68,84.51
7/11/2014,67.47,196.61,43.89,25.75,72.28,119.05,84.53
7/14/2014,67.97,197.6,44.23,25.85,72.61,118.8,84.52
7/15/2014,67.8,197.23,44.2,25.61,72.59,118.67,84.48
7/16/2014,68.22,197.96,44.31,25.65,72.86,118.95,84.47
7/17/2014,67.3499,195.71,43.48,25.71,72.43,119.4,84.54
7/18/2014,67.88,197.7099,44.16,25.54,73.07,119.24,84.47
7/21/2014,67.63,197.34,44.31,25.66,72.86,119.24,84.48
7/22/2014,67.93,198.2,44.72,25.55,73.17,119.33,84.48
7/23/2014,68.07,198.64,44.76,25.62,73.33,119.47,84.51
7/24/2014,68.23,198.65,44.96,25.59,73.14,119,84.48
7/25/2014,67.95,197.72,44.78,25.69,72.73,119.46,84.49
7/28/2014,67.96,197.8,45.09,25.64,73.17,119.32,84.45
7/29/2014,67.82,196.95,44.82,25.56,72.83,119.43,84.47
7/30/2014,67.72,196.98,44.6,25.45,72.76,118.88,84.43
7/31/2014,66.59,193.09,43.82,25.32,71.71,118.55,84.47
8/1/2014,66.13,192.5,44.06,25.12,71.57,118.82,84.55
8/4/2014,66.44,193.89,44.47,25.31,72,118.85,84.55
8/5/2014,65.59,192.01,43.79,25.19,71.36,118.97,84.55
8/6/2014,65.43,192.07,43.485,25.35,71.49,118.76,84.57
8/7/2014,64.9,191.03,43.32,25.4,71.6,119.07,84.61
8/8/2014,65.28,193.24,43.71,25.28,72.14,119.04,84.56
